City,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
31,Nouakchott,MR,2022-03-16 16:07:09,18.0858,-15.9785,85.93,37,0,10.94,clear sky
32,Papara,BR,2022-03-16 16:12:02,-3.9839,-38.7273,81.55,69,88,5.82,overcast clouds
33,Hearst,CA,2022-03-16 16:12:02,49.6835,-83.6665,31.86,98,100,5.19,overcast clouds
34,Gemena,CD,2022-03-16 16:12:03,3.25,19.7667,91.26,38,100,2.77,overcast clouds
35,Manokwari,ID,2022-03-16 16:12:03,-0.8667,134.0833,79.41,78,46,1.03,scattered clouds
36,Slave Lake,CA,2022-03-16 16:12:04,55.2834,-114.769,34.83,78,11,11.56,few clouds
37,Bandarbeyla,SO,2022-03-16 16:12:04,9.4942,50.8122,78.08,71,0,10.2,clear sky
38,Rikitea,PF,2022-03-16 16:12:05,-23.1203,-134.9692,79.77,79,86,23.78,light rain
39,Port Lincoln,AU,2022-03-16 16:12:05,-34.7333,135.8667,66.85,88,8,6.67,clear sky
40,Lexington,US,2022-03-16 16:10:12,37.9887,-84.4777,64.4,39,0,8.05,clear sky
41,Albany,US,2022-03-16 16:12:06,42.6001,-73.9662,51.64,69,40,2.01,scattered clouds
42,Mataura,NZ,2022-03-16 16:12:06,-46.1927,168.8643,44.47,99,75,2.39,broken clouds
43,Jieshi,CN,2022-03-16 16:12:07,22.8134,115.8257,75.94,88,100,9.04,overcast clouds
44,Arraial Do Cabo,BR,2022-03-16 16:12:07,-22.9661,-42.0278,89.46,51,0,18.41,clear sky
45,Aklavik,CA,2022-03-16 16:12:08,68.2191,-135.0107,-30.66,95,10,4.32,clear sky
46,Victoria,HK,2022-03-16 16:12:08,22.2855,114.1577,75.18,90,100,18.01,overcast clouds
47,Wenchi,GH,2022-03-16 16:13:09,7.7392,-2.1046,99.16,26,68,9.22,broken clouds
48,Torbay,CA,2022-03-16 16:13:10,47.6666,-52.7314,30.27,49,99,8.01,overcast clouds
49,Pinawa,CA,2022-03-16 16:13:10,50.1489,-95.8811,33.17,100,100,3.53,overcast clouds
50,Port Alfred,ZA,2022-03-16 16:13:10,-33.5906,26.891,70.21,64,10,8.97,clear sky
51,Hermanus,ZA,2022-03-16 16:13:11,-34.4187,19.2345,72.81,59,0,19.8,clear sky
52,Mayumba,GA,2022-03-16 16:13:11,-3.432,10.6554,81.05,82,73,10.33,broken clouds
53,Provideniya,RU,2022-03-16 16:12:20,64.3833,-173.3,1.62,75,3,5.08,clear sky
54,Nikolskoye,RU,2022-03-16 16:13:12,59.7035,30.7861,42.69,84,100,3.91,overcast clouds
55,Hobart,AU,2022-03-16 16:09:22,-42.8794,147.3294,63.27,88,40,6.91,light rain
56,Port Macquarie,AU,2022-03-16 16:13:13,-31.4333,152.9167,65.89,93,37,6.22,scattered clouds
57,Cherskiy,RU,2022-03-16 16:13:13,68.75,161.3,-24.93,100,76,4.52,broken clouds
58,Upernavik,GL,2022-03-16 16:13:14,72.7868,-56.1549,-10.48,75,98,5.59,overcast clouds
59,Grindavik,IS,2022-03-16 16:13:14,63.8424,-22.4338,33.15,56,100,19.39,light snow
60,Busselton,AU,2022-03-16 16:13:15,-33.65,115.3333,67.91,82,87,4.94,overcast clouds
61,Atuona,PF,2022-03-16 16:13:15,-9.8,-139.0333,77.83,71,2,14.05,clear sky
62,Inhambane,MZ,2022-03-16 16:13:16,-23.865,35.3833,76.28,90,98,16.24,moderate rain
63,Chuy,UY,2022-03-16 16:13:16,-33.6971,-53.4616,79.9,60,10,7.7,clear sky
64,Marsassoum,SN,2022-03-16 16:13:17,12.8275,-15.9806,99.68,10,49,8.12,scattered clouds
65,Qaqortoq,GL,2022-03-16 16:13:17,60.7167,-46.0333,4.35,53,32,6.53,scattered clouds
66,Tynda,RU,2022-03-16 16:13:18,55.1667,124.7167,4.32,95,100,8.3,light snow
67,Port Elizabeth,ZA,2022-03-16 16:13:18,-33.918,25.5701,70.32,75,5,6.55,clear sky
68,Mantua,IT,2022-03-16 16:13:19,45.1667,10.7833,63.09,62,17,3.0,few clouds
69,Olga,RU,2022-03-16 16:13:19,43.7444,135.2892,25.12,97,77,3.67,broken clouds
70,Rudnogorsk,RU,2022-03-16 16:13:20,57.2639,103.7519,5.5,98,100,2.62,overcast clouds
71,Port Blair,IN,2022-03-16 16:13:20,11.6667,92.75,82.54,79,97,3.31,overcast clouds
72,Barrow,US,2022-03-16 16:13:21,71.2906,-156.7887,-11.18,77,75,9.22,mist
73,Alyangula,AU,2022-03-16 16:13:21,-13.8483,136.4192,82.53,77,69,8.39,broken clouds
74,Naze,JP,2022-03-16 16:13:22,28.3667,129.4833,64.69,90,90,6.17,overcast clouds
75,Kaitangata,NZ,2022-03-16 16:13:22,-46.2817,169.8464,49.75,89,99,6.89,overcast clouds
76,Lower Hutt,NZ,2022-03-16 16:13:23,-41.2167,174.9167,57.31,74,75,18.41,broken clouds
77,Hasaki,JP,2022-03-16 16:13:23,35.7333,140.8333,46.8,81,2,18.72,clear sky
78,New Norfolk,AU,2022-03-16 16:13:23,-42.7826,147.0587,62.92,76,97,1.83,overcast clouds
79,Tubuala,PA,2022-03-16 16:13:24,9.5167,-79.0333,80.83,77,77,9.89,broken clouds
80,Belmonte,BR,2022-03-16 16:13:24,-15.8631,-38.8828,84.92,61,54,6.82,broken clouds
81,Qaanaaq,GL,2022-03-16 16:13:25,77.484,-69.3632,-10.08,74,100,9.89,overcast clouds
82,Narsaq,GL,2022-03-16 16:13:25,60.9167,-46.05,8.82,51,66,2.82,broken clouds
83,Ikalamavony,MG,2022-03-16 16:13:26,-21.15,46.5833,71.74,90,99,1.92,moderate rain
84,Constitucion,CL,2022-03-16 16:13:26,-35.3333,-72.4167,65.89,73,84,5.03,broken clouds
85,Nhulunbuy,AU,2022-03-16 16:13:26,-12.2333,136.7667,79.41,94,25,0.0,scattered clouds
86,Xichang,CN,2022-03-16 16:13:27,27.8964,102.2634,58.89,66,100,1.39,overcast clouds
87,Chokurdakh,RU,2022-03-16 16:13:27,70.6333,147.9167,-16.56,97,70,10.45,broken clouds
88,Jalu,LY,2022-03-16 16:13:28,29.0331,21.5482,62.73,26,0,8.01,clear sky
89,Khatanga,RU,2022-03-16 16:13:28,71.9667,102.5,-19.82,93,26,8.21,scattered clouds
90,Kamariotissa,GR,2022-03-16 16:13:29,40.4833,25.4667,51.53,58,100,5.35,overcast clouds
91,Cabo San Lucas,MX,2022-03-16 16:12:18,22.8909,-109.9124,79.11,39,0,3.44,clear sky
92,Thompson,CA,2022-03-16 16:14:29,55.7435,-97.8558,14.88,90,100,2.75,overcast clouds
93,Ushibuka,JP,2022-03-16 16:14:30,32.1906,130.0228,60.71,65,97,4.47,overcast clouds
94,Kodiak,US,2022-03-16 16:14:30,57.79,-152.4072,35.11,93,100,0.0,overcast clouds
95,Lucapa,AO,2022-03-16 16:14:31,-8.4192,20.7447,73.81,90,100,3.22,light rain
96,Erzin,TR,2022-03-16 16:14:31,36.9559,36.2,39.79,71,6,3.6,clear sky
97,Rae Bareli,IN,2022-03-16 16:14:32,26.2167,81.2333,81.77,23,10,6.58,clear sky
98,Sioux Lookout,CA,2022-03-16 16:14:32,50.1001,-91.917,34.09,100,100,4.52,overcast clouds
99,Hokitika,NZ,2022-03-16 16:14:32,-42.7167,170.9667,54.46,72,5,6.15,clear sky
100,Klaksvik,FO,2022-03-16 16:14:33,62.2266,-6.589,40.12,65,71,28.81,broken clouds
101,Anuradhapura,LK,2022-03-16 16:14:33,8.3565,80.4173,75.81,80,100,3.06,overcast clouds
102,Zunyi,CN,2022-03-16 16:14:34,27.6867,106.9072,61.48,93,93,0.72,overcast clouds
103,Gawler,AU,2022-03-16 16:14:34,-34.6,138.7333,71.1,83,100,5.1,overcast clouds
104,Grootfontein,NA,2022-03-16 16:14:34,-19.5667,18.1167,77.49,36,46,7.25,scattered clouds
105,Vila Velha,BR,2022-03-16 16:14:35,-20.3297,-40.2925,87.75,69,40,11.5,scattered clouds
106,Paragominas,BR,2022-03-16 16:14:35,-2.9667,-47.4833,78.4,78,99,1.25,overcast clouds
107,Cape Town,ZA,2022-03-16 16:11:24,-33.9258,18.4232,74.1,64,0,17.13,clear sky
108,Sao Filipe,CV,2022-03-16 16:14:36,14.8961,-24.4956,70.36,72,4,11.61,clear sky
109,Sitka,US,2022-03-16 16:13:07,57.0531,-135.33,44.49,65,100,20.71,light rain
110,Kailua,US,2022-03-16 16:14:37,21.4022,-157.7394,75.74,90,62,1.99,broken clouds
111,Sokolovo,RU,2022-03-16 16:14:37,52.5318,84.7896,13.05,98,100,2.59,overcast clouds
112,Saint-Augustin,CA,2022-03-16 16:14:38,51.226,-58.6502,10.67,70,88,11.23,overcast clouds
113,Mian Channun,PK,2022-03-16 16:14:38,30.44,72.3543,82.74,26,1,6.42,clear sky
114,Sergeyevka,KZ,2022-03-16 16:14:38,53.88,67.4158,-5.78,100,64,1.83,broken clouds
115,Koutsouras,GR,2022-03-16 16:14:39,35.0339,25.9469,57.11,56,5,8.46,clear sky
116,Saint-Philippe,RE,2022-03-16 16:14:39,-21.3585,55.7679,80.19,87,78,9.06,light rain
117,Manyana,BW,2022-03-16 16:14:40,-23.4,21.7167,79.2,27,0,8.95,clear sky
118,Houston,US,2022-03-16 16:11:14,29.7633,-95.3633,71.31,62,0,3.44,clear sky
119,Jizan,SA,2022-03-16 16:14:40,17.3333,42.6667,79.05,64,26,13.22,scattered clouds
120,Hualmay,PE,2022-03-16 16:14:41,-11.0964,-77.6139,77.68,64,71,8.77,broken clouds
121,Qingdao,CN,2022-03-16 16:14:41,36.0986,120.3719,43.21,65,100,16.08,overcast clouds
122,Beloha,MG,2022-03-16 16:14:42,-25.1667,45.05,76.89,75,48,8.66,scattered clouds
123,Prieska,ZA,2022-03-16 16:14:42,-29.6641,22.7474,78.31,23,2,9.86,clear sky
124,Filingue,NE,2022-03-16 16:14:42,14.3521,3.3168,100.85,8,8,10.69,clear sky
125,Wencheng,CN,2022-03-16 16:14:43,33.0559,113.7978,46.4,92,100,22.79,overcast clouds
126,Vagur,FO,2022-03-16 16:14:43,61.4732,-6.8119,42.24,67,58,28.45,broken clouds
127,Lieksa,FI,2022-03-16 16:14:44,63.3167,30.0167,30.07,92,89,6.11,overcast clouds
128,Takoradi,GH,2022-03-16 16:14:44,4.8845,-1.7554,84.43,69,97,8.7,overcast clouds
129,Dalby,AU,2022-03-16 16:14:44,-27.1833,151.2667,61.99,90,0,6.33,clear sky
130,Bredasdorp,ZA,2022-03-16 16:14:45,-34.5322,20.0403,69.35,60,2,12.95,clear sky
131,Castro,BR,2022-03-16 16:14:45,-24.7911,-50.0119,67.98,91,98,8.37,overcast clouds
132,Evansville,US,2022-03-16 16:14:46,37.9748,-87.5558,66.2,38,0,12.66,clear sky
133,Husavik,IS,2022-03-16 16:14:46,66.0449,-17.3389,32.22,64,65,18.79,broken clouds
134,Sorrento,IT,2022-03-16 16:14:47,40.626,14.3744,59.11,83,72,3.2,broken clouds
135,Quthing,LS,2022-03-16 16:14:47,-30.4,27.7003,66.13,51,12,1.59,few clouds
136,Puerto Ayacucho,VE,2022-03-16 16:14:48,5.6639,-67.6236,93.81,40,55,6.78,broken clouds
137,Aquiraz,BR,2022-03-16 16:14:48,-3.9014,-38.3911,83.05,66,93,7.34,light rain
138,Severnoye,RU,2022-03-16 16:15:48,56.3491,78.3619,6.46,96,18,7.78,few clouds
139,Bathsheba,BB,2022-03-16 16:15:49,13.2167,-59.5167,84.81,54,20,25.32,few clouds
140,Poum,NC,2022-03-16 16:15:49,-20.2333,164.0167,78.93,87,100,9.04,heavy intensity rain
141,Richards Bay,ZA,2022-03-16 16:15:50,-28.783,32.0377,70.75,82,59,6.98,light rain
142,Ponta Do Sol,PT,2022-03-16 16:15:50,32.6667,-17.1,66.06,59,0,4.68,clear sky
143,Faya,SA,2022-03-16 16:15:51,18.3851,42.4509,59.52,72,14,6.89,few clouds
144,Maarianhamina,AX,2022-03-16 16:15:51,60.0973,19.9348,40.86,65,0,4.61,clear sky
145,Labuan,MY,2022-03-16 16:15:52,5.2767,115.2417,79.16,94,40,2.3,scattered clouds
146,Vardo,NO,2022-03-16 16:15:52,70.3705,31.1107,28.38,69,0,17.27,clear sky
147,Sawankhalok,TH,2022-03-16 16:15:53,17.316,99.8319,86.49,52,66,2.19,broken clouds
148,Marzuq,YE,2022-03-16 16:15:53,14.4,46.4667,68.58,53,3,8.97,clear sky
149,Burnie,AU,2022-03-16 16:15:53,-41.0667,145.9167,67.91,93,98,10.74,overcast clouds
150,Tabuk,PH,2022-03-16 16:15:54,17.4189,121.4443,74.73,92,100,3.09,overcast clouds
151,Kavieng,PG,2022-03-16 16:15:54,-2.5744,150.7967,82.42,76,59,13.02,broken clouds
152,Puerto Carreno,CO,2022-03-16 16:15:55,6.189,-67.4859,85.98,62,40,12.66,scattered clouds
153,Tuatapere,NZ,2022-03-16 16:15:55,-46.1333,167.6833,44.85,96,72,3.56,broken clouds
154,Maneadero,MX,2022-03-16 16:15:56,31.7167,-116.5667,55.09,91,12,2.77,few clouds
155,Longyearbyen,SJ,2022-03-16 16:15:56,78.2186,15.6401,37.24,75,75,13.8,broken clouds
156,Elizabeth City,US,2022-03-16 16:15:56,36.2946,-76.2511,66.22,77,0,3.44,clear sky
157,Pokhara,NP,2022-03-16 16:14:35,28.2333,83.9833,69.84,37,1,6.06,clear sky
158,Tiksi,RU,2022-03-16 16:15:57,71.6872,128.8694,-12.8,97,100,9.57,overcast clouds
159,Ust-Maya,RU,2022-03-16 16:15:58,60.4167,134.5333,3.27,96,100,3.65,overcast clouds
160,Limon,CR,2022-03-16 16:15:58,10.0,-83.0333,82.29,78,75,4.61,broken clouds
161,Honningsvag,NO,2022-03-16 16:15:59,70.9821,25.9704,31.75,74,0,28.77,clear sky
162,Gobabis,NA,2022-03-16 16:15:59,-22.45,18.9667,79.7,17,0,8.25,clear sky
163,Dobsina,SK,2022-03-16 16:16:00,48.8207,20.3699,41.85,86,85,6.53,overcast clouds
164,Samarai,PG,2022-03-16 16:16:00,-10.6167,150.6667,83.01,76,98,14.54,overcast clouds
165,Straz Pod Ralskem,CZ,2022-03-16 16:16:01,50.7028,14.801,52.86,70,93,5.61,overcast clouds
166,Fare,PF,2022-03-16 16:16:01,-16.7,-151.0167,80.51,70,7,6.46,clear sky
167,Mount Gambier,AU,2022-03-16 16:16:02,-37.8333,140.7667,66.15,91,100,4.27,overcast clouds
168,Mahebourg,MU,2022-03-16 16:16:02,-20.4081,57.7,80.89,83,40,0.0,scattered clouds
169,Baykit,RU,2022-03-16 16:16:02,61.67,96.37,-1.17,99,99,1.97,overcast clouds
170,Alta Floresta,BR,2022-03-16 16:11:47,-9.8756,-56.0861,72.61,97,100,2.64,light rain
171,Vostok,RU,2022-03-16 16:16:03,46.4856,135.8833,24.37,97,100,3.78,snow
172,Marathon,US,2022-03-16 16:16:04,44.9,-89.7668,52.84,65,0,11.5,clear sky
173,Mar Del Plata,AR,2022-03-16 16:13:19,-38.0023,-57.5575,82.42,67,40,20.71,scattered clouds
174,Martinsville,US,2022-03-16 16:16:04,36.6915,-79.8725,65.37,61,75,5.75,broken clouds
175,Atar,MR,2022-03-16 16:16:05,20.5169,-13.0499,81.05,16,0,14.5,clear sky
176,Lasa,IT,2022-03-16 16:16:05,46.6166,10.7002,59.88,82,9,3.56,clear sky
177,Ha Giang,VN,2022-03-16 16:16:05,22.8333,104.9833,73.44,95,79,2.75,broken clouds
178,San Jeronimo,PE,2022-03-16 16:16:06,-11.9472,-75.2829,56.35,56,60,1.54,broken clouds
179,Saskylakh,RU,2022-03-16 16:16:06,71.9167,114.0833,-23.85,100,90,5.79,overcast clouds
180,Bonthe,SL,2022-03-16 16:17:07,7.5264,-12.505,84.11,66,71,11.54,broken clouds
181,Zenzeli,RU,2022-03-16 16:17:07,45.9241,47.0474,30.81,49,91,6.53,overcast clouds
182,Paamiut,GL,2022-03-16 16:17:08,61.994,-49.6678,7.5,87,100,2.64,light snow
183,Korla,CN,2022-03-16 16:17:08,41.7597,86.1469,51.21,55,100,11.25,overcast clouds
184,Bambous Virieux,MU,2022-03-16 16:17:08,-20.3428,57.7575,80.85,83,40,0.0,light rain
185,Flinders,AU,2022-03-16 16:17:09,-34.5833,150.8552,66.18,92,16,3.0,few clouds
186,Hami,CN,2022-03-16 16:17:09,42.8,93.45,49.48,27,92,7.02,light rain
187,Dikson,RU,2022-03-16 16:17:10,73.5069,80.5464,1.31,98,100,13.29,overcast clouds
188,Lodja,CD,2022-03-16 16:17:10,-3.4833,23.4333,73.92,87,100,4.12,overcast clouds
189,Nemuro,JP,2022-03-16 16:17:01,43.3236,145.575,30.7,99,100,8.75,light snow
190,Iqaluit,CA,2022-03-16 16:17:11,63.7506,-68.5145,-0.31,59,100,8.05,overcast clouds
191,Keningau,MY,2022-03-16 16:17:11,5.3378,116.1602,72.91,99,91,1.16,overcast clouds
192,Hofn,IS,2022-03-16 16:17:12,64.2539,-15.2082,37.47,53,99,27.4,overcast clouds
193,San Cristobal,VE,2022-03-16 16:17:12,7.7669,-72.225,73.58,44,86,7.18,overcast clouds
194,Mandalgovi,MN,2022-03-16 16:17:13,45.7625,106.2708,20.14,38,93,15.12,overcast clouds
195,Tessalit,ML,2022-03-16 16:17:13,20.1986,1.0114,94.86,7,5,13.13,clear sky
196,Santa Cruz Del Sur,CU,2022-03-16 16:17:14,20.7147,-77.9956,83.01,62,6,14.27,light rain
197,Skjervoy,NO,2022-03-16 16:17:14,70.0311,20.9714,38.84,72,1,14.2,clear sky
198,Adrar,MR,2022-03-16 16:17:14,20.5022,-10.0711,78.22,18,0,11.52,clear sky
199,Hithadhoo,MV,2022-03-16 16:17:15,-0.6,73.0833,84.43,72,100,10.31,overcast clouds
200,Isangel,VU,2022-03-16 16:17:15,-19.55,169.2667,80.37,86,97,6.76,overcast clouds
201,Churapcha,RU,2022-03-16 16:17:16,62.0025,132.4325,-3.53,96,100,5.97,overcast clouds
202,Zhigansk,RU,2022-03-16 16:17:16,66.7697,123.3711,-17.61,100,94,7.45,overcast clouds
203,Laguna,US,2022-03-16 16:17:17,38.421,-121.4238,59.09,84,0,8.05,clear sky
204,Clyde River,CA,2022-03-16 16:17:17,70.4692,-68.5914,-18.17,76,100,0.0,haze
205,San Fernando,PH,2022-03-16 16:12:21,15.0286,120.6898,77.63,87,72,3.15,moderate rain
206,Ejido,VE,2022-03-16 16:17:18,8.5514,-71.2375,80.64,53,28,6.29,scattered clouds
207,Kiama,AU,2022-03-16 16:12:59,-34.6833,150.8667,68.0,93,18,3.31,few clouds
208,Avarua,CK,2022-03-16 16:17:18,-21.2078,-159.775,71.65,100,5,1.14,clear sky
209,Manacor,ES,2022-03-16 16:17:19,39.5696,3.2096,60.31,82,95,16.06,overcast clouds
210,Cidreira,BR,2022-03-16 16:17:19,-30.1811,-50.2056,76.8,68,100,15.59,overcast clouds
211,Vila Franca Do Campo,PT,2022-03-16 16:17:20,37.7167,-25.4333,64.81,58,100,7.94,overcast clouds
212,Carnarvon,AU,2022-03-16 16:17:20,-24.8667,113.6333,77.07,69,73,18.41,broken clouds
213,Souillac,MU,2022-03-16 16:17:20,-20.5167,57.5167,80.98,83,40,0.0,scattered clouds
214,Esperance,AU,2022-03-16 16:17:21,-33.8667,121.9,66.27,88,0,6.93,clear sky
215,Surazh,RU,2022-03-16 16:17:21,53.0175,32.3918,26.29,83,65,6.02,broken clouds
216,Kamaishi,JP,2022-03-16 16:17:22,39.2667,141.8833,39.92,81,20,4.32,few clouds
217,Wukari,NG,2022-03-16 16:17:22,7.85,9.7833,102.54,8,79,7.65,broken clouds
218,Noumea,NC,2022-03-16 16:14:13,-22.2763,166.4572,82.0,99,98,3.69,overcast clouds
219,Airai,TL,2022-03-16 16:17:23,-8.9266,125.4092,60.31,93,90,1.5,overcast clouds
220,Necochea,AR,2022-03-16 16:17:23,-38.5473,-58.7368,84.81,37,0,12.64,clear sky
221,Chumphon,TH,2022-03-16 16:17:24,10.3333,98.8333,72.28,90,89,1.88,overcast clouds
222,Byron Bay,AU,2022-03-16 16:12:49,-28.65,153.6167,68.94,89,59,8.55,broken clouds
223,Nuevo Progreso,MX,2022-03-16 16:17:24,23.1667,-97.95,80.55,35,0,8.08,clear sky
224,Praia Da Vitoria,PT,2022-03-16 16:17:25,38.7333,-27.0667,63.75,59,20,8.9,few clouds
225,Vestmanna,FO,2022-03-16 16:17:25,62.1564,-7.1664,38.32,75,75,18.41,broken clouds
226,Perote,MX,2022-03-16 16:17:26,19.5667,-97.2333,58.55,59,10,2.77,clear sky
227,Qasigiannguit,GL,2022-03-16 16:17:26,68.8193,-51.1922,-1.95,86,100,3.04,overcast clouds
228,Chamba,IN,2022-03-16 16:16:25,32.5667,76.1333,70.23,37,0,9.1,clear sky
229,Coquimbo,CL,2022-03-16 16:18:27,-29.9533,-71.3436,67.73,68,40,6.91,scattered clouds
230,Komsomolskiy,UZ,2022-03-16 16:18:27,40.4272,71.7189,48.92,87,75,2.3,mist
231,Butaritari,KI,2022-03-16 16:15:19,3.0707,172.7902,81.52,78,22,20.6,light rain
232,Pitimbu,BR,2022-03-16 16:18:28,-7.4706,-34.8086,86.59,69,26,9.91,scattered clouds
233,Busembatia,UG,2022-03-16 16:18:28,0.7697,33.6131,78.03,52,73,9.35,broken clouds
234,Lalsk,RU,2022-03-16 16:18:29,60.7415,47.5862,11.26,96,71,2.82,broken clouds
235,Neiafu,TO,2022-03-16 16:18:29,-18.65,-173.9833,79.48,94,75,0.0,broken clouds
236,Nuuk,GL,2022-03-16 16:18:30,64.1835,-51.7216,3.81,78,75,1.14,broken clouds
237,Stornoway,GB,2022-03-16 16:15:17,58.2093,-6.3865,44.92,77,40,19.57,scattered clouds
238,Saldanha,ZA,2022-03-16 16:18:30,-33.0117,17.9442,67.03,73,30,15.82,scattered clouds
239,Samarinda,ID,2022-03-16 16:18:31,-0.5,117.15,73.83,99,32,0.45,scattered clouds
240,Mpika,ZM,2022-03-16 16:18:31,-11.8343,31.4529,66.09,96,81,4.14,light rain
241,Camacha,PT,2022-03-16 16:18:32,33.0833,-16.3333,62.02,63,40,23.02,scattered clouds
242,Peterborough,GB,2022-03-16 16:18:32,52.5736,-0.2478,50.22,98,100,6.91,heavy intensity rain
243,Bengkulu,ID,2022-03-16 16:18:33,-3.8004,102.2655,78.58,86,100,3.49,moderate rain
244,Zeya,RU,2022-03-16 16:18:33,53.75,127.2667,14.27,96,100,2.19,light snow
245,Vilcun,CL,2022-03-16 16:15:23,-38.65,-72.2333,63.34,31,2,4.79,clear sky
246,Chapais,CA,2022-03-16 16:17:46,49.7834,-74.8492,28.18,91,98,12.19,light snow
247,Portobelo,PA,2022-03-16 16:18:34,9.55,-79.65,80.73,79,80,11.97,broken clouds
248,Ilinge,ZA,2022-03-16 16:18:34,-31.9768,27.0427,59.83,73,23,11.27,few clouds
249,Mount Isa,AU,2022-03-16 16:18:25,-20.7333,139.5,74.97,88,7,0.0,light rain
250,Hun,LY,2022-03-16 16:18:35,29.1268,15.9477,69.03,16,0,14.56,clear sky
251,Broome,US,2022-03-16 16:18:35,42.2506,-75.833,53.98,64,0,6.91,clear sky
252,Tautira,PF,2022-03-16 16:18:36,-17.7333,-149.15,80.29,71,18,4.18,few clouds
253,Chumikan,RU,2022-03-16 16:18:36,54.7183,135.315,16.48,94,100,18.52,light snow
254,Banikoara,BJ,2022-03-16 16:18:37,11.2985,2.4386,100.24,17,100,2.13,overcast clouds
255,Atasu,KZ,2022-03-16 16:18:37,48.6814,71.6433,2.5,92,42,7.49,scattered clouds
256,Oudtshoorn,ZA,2022-03-16 16:18:38,-33.5907,22.2014,64.76,55,1,13.33,clear sky
257,Lazaro Cardenas,MX,2022-03-16 16:18:38,17.9583,-102.2,82.8,51,0,1.45,clear sky
258,Tasiilaq,GL,2022-03-16 16:18:39,65.6145,-37.6368,26.76,80,98,5.32,overcast clouds
259,Grand Gaube,MU,2022-03-16 16:18:39,-20.0064,57.6608,81.0,86,51,6.55,broken clouds
260,Chaoyang,CN,2022-03-16 16:18:40,41.5703,120.4586,24.39,42,50,6.96,scattered clouds
261,Mwanza,TZ,2022-03-16 16:18:40,-2.5167,32.9,76.24,59,46,5.77,scattered clouds
262,Shubarkuduk,KZ,2022-03-16 16:18:41,49.1447,56.4872,15.58,86,100,17.78,overcast clouds
